"group","species_name","data_quality","exposure_factor","score","type"
"Forage","Eulachon",2,"ZP",1,"anomaly"
"Forage","Eulachon",2,"SO2",3.29,"anomaly"
"Forage","Eulachon",2,"AT",2.77,"anomaly"
"Forage","Eulachon",2,"PR",1.96,"anomaly"
"Forage","Eulachon",2,"MHW",3.15,"anomaly"
"Flatfish","Flathead sole",3,"BT",1.7,"anomaly"
"Flatfish","Flathead sole",3,"BS",1.4,"anomaly"
"Flatfish","Flathead sole",3,"BpH",4,"anomaly"
"Flatfish","Flathead sole",3,"PhT",1,"anomaly"
"Flatfish","Flathead sole",3,"ZP",1,"anomaly"
"Flatfish","Flathead sole",3,"BO2",2.3,"anomaly"
"Flatfish","Flathead sole",3,"MHW",2.58,"anomaly"
"Mollusc","Geoduck clam",1,"BT",1.3,"anomaly"
"Mollusc","Geoduck clam",1,"BS",1.34,"anomaly"
"Mollusc","Geoduck clam",1,"BpH",4,"anomaly"
"Mollusc","Geoduck clam",1,"PhT",1,"anomaly"
"Mollusc","Geoduck clam",1,"ZP",1,"anomaly"
"Mollusc","Geoduck clam",1,"BO2",1.72,"anomaly"
"Mollusc","Geoduck clam",1,"AT",2.47,"anomaly"
"Mollusc","Geoduck clam",1,"MHW",1.82,"anomaly"
"Groundfish","Giant grenadier",2,"BT",1,"anomaly"
"Groundfish","Giant grenadier",2,"BS",1.72,"anomaly"
"Groundfish","Giant grenadier",2,"BpH",4,"anomaly"
"Groundfish","Giant grenadier",2,"PhT",1,"anomaly"
"Groundfish","Giant grenadier",2,"ZP",1,"anomaly"
"Groundfish","Giant grenadier",2,"BO2",2.36,"anomaly"
"Groundfish","Giant grenadier",2,"MHW",2.8,"anomaly"
"Mollusc","Giant Pacific octopus",3,"BT",1.51,"anomaly"
"Mollusc","Giant Pacific octopus",3,"BS",1.39,"anomaly"
"Mollusc","Giant Pacific octopus",3,"BpH",4,"anomaly"
"Mollusc","Giant Pacific octopus",3,"PhT",1,"anomaly"
"Mollusc","Giant Pacific octopus",3,"ZP",1,"anomaly"
"Mollusc","Giant Pacific octopus",3,"BO2",2.68,"anomaly"
"Mollusc","Giant Pacific octopus",3,"AT",2.06,"anomaly"
"Mollusc","Giant Pacific octopus",3,"MHW",2.6,"anomaly"
"Crustacean","Golden king crab",2,"BT",1.5,"anomaly"
"Crustacean","Golden king crab",2,"BS",1.46,"anomaly"
"Crustacean","Golden king crab",2,"BpH",3.99,"anomaly"
"Crustacean","Golden king crab",2,"PhT",1,"anomaly"
"Crustacean","Golden king crab",2,"ZP",1,"anomaly"
"Crustacean","Golden king crab",2,"BO2",1.84,"anomaly"
"Crustacean","Golden king crab",2,"MHW",3.15,"anomaly"
"Rockfish","Harlequin rockfish",3,"BT",1.45,"anomaly"
"Rockfish","Harlequin rockfish",3,"BS",1.39,"anomaly"
"Rockfish","Harlequin rockfish",3,"BpH",4,"anomaly"
"Rockfish","Harlequin rockfish",3,"PhT",1,"anomaly"
"Rockfish","Harlequin rockfish",3,"ZP",1,"anomaly"
"Rockfish","Harlequin rockfish",3,"BO2",2.05,"anomaly"
"Rockfish","Harlequin rockfish",3,"MHW",3.19,"anomaly"
"Groundfish","Lingcod",3,"BT",1.46,"anomaly"
"Groundfish","Lingcod",3,"BS",1.4,"anomaly"
"Groundfish","Lingcod",3,"BpH",4,"anomaly"
"Groundfish","Lingcod",3,"PhT",1,"anomaly"
"Groundfish","Lingcod",3,"ZP",1,"anomaly"
"Groundfish","Lingcod",3,"BO2",1.63,"anomaly"
"Groundfish","Lingcod",3,"MHW",2.92,"anomaly"
"Mollusc","Littleneck clam",1,"BT",1.34,"anomaly"
"Mollusc","Littleneck clam",1,"BS",1.3,"anomaly"
"Mollusc","Littleneck clam",1,"BpH",4,"anomaly"
"Mollusc","Littleneck clam",1,"PhT",1,"anomaly"
"Mollusc","Littleneck clam",1,"ZP",1,"anomaly"
"Mollusc","Littleneck clam",1,"BO2",1.67,"anomaly"
"Mollusc","Littleneck clam",1,"AT",2.61,"anomaly"
"Mollusc","Littleneck clam",1,"MHW",2.11,"anomaly"
"Elasmobranch","Longnose skate",3,"BT",1.65,"anomaly"
"Elasmobranch","Longnose skate",3,"BS",1.38,"anomaly"
"Elasmobranch","Longnose skate",3,"BpH",4,"anomaly"
"Elasmobranch","Longnose skate",3,"PhT",1,"anomaly"
"Elasmobranch","Longnose skate",3,"ZP",1,"anomaly"
"Elasmobranch","Longnose skate",3,"BO2",1.79,"anomaly"
"Elasmobranch","Longnose skate",3,"MHW",3.03,"anomaly"
"Mollusc","Magistrate armhook squid",2,"BT",1.5,"anomaly"
"Mollusc","Magistrate armhook squid",2,"BS",1.46,"anomaly"
"Mollusc","Magistrate armhook squid",2,"BpH",3.99,"anomaly"
"Mollusc","Magistrate armhook squid",2,"PhT",1,"anomaly"
"Mollusc","Magistrate armhook squid",2,"ZP",1,"anomaly"
"Mollusc","Magistrate armhook squid",2,"BO2",1.84,"anomaly"
"Mollusc","Magistrate armhook squid",2,"MHW",3.15,"anomaly"
"Flatfish","Northern rock sole",3,"BT",1.57,"anomaly"
"Flatfish","Northern rock sole",3,"BS",1.45,"anomaly"
"Flatfish","Northern rock sole",3,"BpH",4,"anomaly"
"Flatfish","Northern rock sole",3,"PhT",1,"anomaly"
"Flatfish","Northern rock sole",3,"ZP",1,"anomaly"
"Flatfish","Northern rock sole",3,"BO2",2.44,"anomaly"
"Flatfish","Northern rock sole",3,"MHW",2.55,"anomaly"
"Rockfish","Northern rockfish",3,"BT",1.6,"anomaly"
"Rockfish","Northern rockfish",3,"BS",1.33,"anomaly"
"Rockfish","Northern rockfish",3,"BpH",4,"anomaly"
"Rockfish","Northern rockfish",3,"PhT",1,"anomaly"
"Rockfish","Northern rockfish",3,"ZP",1,"anomaly"
"Rockfish","Northern rockfish",3,"BO2",2.24,"anomaly"
"Rockfish","Northern rockfish",3,"MHW",2.95,"anomaly"
"Groundfish","Pacific cod",3,"BT",1.62,"anomaly"
"Groundfish","Pacific cod",3,"BS",1.43,"anomaly"
"Groundfish","Pacific cod",3,"BpH",4,"anomaly"
"Groundfish","Pacific cod",3,"PhT",1,"anomaly"
"Groundfish","Pacific cod",3,"ZP",1,"anomaly"
"Groundfish","Pacific cod",3,"BO2",2.4,"anomaly"
"Groundfish","Pacific cod",3,"MHW",2.68,"anomaly"
"Flatfish","Pacific halibut",3,"BT",1.56,"anomaly"
"Flatfish","Pacific halibut",3,"BS",1.51,"anomaly"
"Flatfish","Pacific halibut",3,"BpH",4,"anomaly"
"Flatfish","Pacific halibut",3,"PhT",1,"anomaly"
"Flatfish","Pacific halibut",3,"ZP",1,"anomaly"
"Flatfish","Pacific halibut",3,"BO2",1.86,"anomaly"
"Flatfish","Pacific halibut",3,"MHW",3.02,"anomaly"
"Forage","Pacific herring",2,"SST",1.01,"anomaly"
